REGION,PROVINCE,ADDRESS,NAME OF FACILITY,"OWNERSHIP (DOH Retained, LGU, GOVERNMENT & PRIVATE)",CLASSIFICATION (Hospital-based / non-hospital based) ,TESTING PROCEDURE,Brand,"Date of Submission of Application & Self-Assessment Tool
(start date)
",STAGE,"REMARKS
",LTO VALIDITY,LICENSED NUMBER,With POOLED testing certificate,HEAD OF LABORATORY,EMAIL ADDRESS,CONTACT NUMBER,INSPECTORS / ASSESORS,,,,,,,,,,,,,
Region 6,Negros Occidental,"Brgy. 5. B.S Aquino Drive, Bacolod City, Negros Occidental",Dr. Pablo O. Torre Memorial Hospital,PRIVATE,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,06-0465-21-H3-2,,Dr. David Pedroza,dpotmhlab@yahoo.com,639993068676,"Dr. Hautea, Ar. Leonado, Engr Salanga, Ms. Padua, Ms. Foronda",,,,,,,,,,,,,
Region 6,Negros Occidental,Bacolod City,PRC - Negros Occidental Molecular Laboratory,PRIVATE,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,06-0070-2021-CT-2,,,negros.occidental@redcross.org.ph,(034) 434 8541,,,,,,,,,,,,,,
Region 6,Negros Occidental,Mun. of Villadolid,"Safeguard DNA Diagnostics, Inc.",PRIVATE,Non-Hospital Based,rRT PCR,,,5,NEW,04/21/21 - 12/31/21,02-0021-2021-CT-2,,Dr. Leni Montes,ltnegros@sddiph.com,639993406873,"Dr. Hautea, Ms. Toledo, Mr. Malbacias, Ms. Padua, Ms. Foronda & Engr. Salanga",,,,,,,,,,,,,
Region 6,Negros Occidental,Silay City,Teresita Jalandoni Provincial Hospital,LGU,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,06-0033-2021-CT-1,,,tljph_silay@yahoo.com,0922-835-4626,,,,,,,,,,,,,,
Region 6,Negros Occidental,Bacolod City,"The Doctors Hospital, Inc.",PRIVATE,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,06-0389-21-H3-2,,,mecatamen@sehi.ph,0917-882-2676,"Engr. Lui, Ms. Fermo, Ms. Reyes, Ms. Foronda, Ms. Padua & Engr. Tolentino",,,,,,,,,,,,,
Region 7,Negros Oriental,Dumaguete City,Negros Oriental Provincial Hospital,LGU,hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,07-0077-21-250-H1-1,,Dr. Nikko Paulo Cablao,noph.molecularlab@gmail.com,,,,,,,,,,,,,,,
Region 3,Nueva Ecija,Cabanatuan City,Dr. Paulino J. Garcia Memorial Research and Medical Center,DOH Retained,Hospital Based,rRT PCR,,"March 10, 2021",3,FOR COMPLIANCE,,,,,,,"Ms. Fermo, Ar. Leonado & Mr. Olmedo",,,,,,,,,,,,,
Region 4B,Oriental Mindoro,Calapan City,Oriental Mindoro Provincial Hospital,LGU,Hospital Based,Cartridge-based PCR,GeneXpert,,5,RENEWED,01/01/21 - 12/31/21,4B-0030-2021-CT-2,,Dr. Jonathan Leviste,omphpgom@gmail.com,,,,,,,,,,,,,,,
Region 4B,Palawan,"Culion, Palawan",Culion Sanitarium and General Hospital,DOH Retained,Hospital Based,Cartridge-based PCR,GeneXpert,,5,RENEWED,01/01/21 - 12/31/21,4B-0062-2021-CT-1,,Dr. Karen O. Bongas,doh.culsan@yahoo.com.ph / culsanlab@gmail.com,639564237389,"RLED 4-B, Mr. Medina & Engr. Vicente",,,,,,,,,,,,,
Region 4B,Palawan,"220, Malvar Street, Puerto, Princesa, 5300 Palawan",Ospital ng Palawan,DOH Retained,Hospital Based,Cartridge-based PCR,GeneXpert,,5,RENEWED,01/01/21 - 12/31/21,4B-0039-2021-CT-1,,,onp_cmps@yahoo.com,(048) 433 2621,,,,,,,,,,,,,,
Region 4B,Palawan,Puerto Princesa,PHO - Molecular Biology Laboratory,GOVERNMENT,Non-Hospital Based,rRT PCR,,"March 10, 2021",3,FOR COMPLIANCE,,,,,,,,,,,,,,,,,,,,
Region 4B,Palawan,Puerto Princesa,Puerto Princesa City Molecular Laboratory,GOVERNMENT,Non-Hospital Based,rRT PCR,,"March 3, 2021",3,FOR COMPLIANCE,,,,Dr. Dalingding,rick23md@yahoo.com,639175200146,,,,,,,,,,,,,,
Region 3,Pampanga,"Jose Abad Santos Street, San Fernando, Pampanga",Green City Medical Center,PRIVATE,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,03-0256-21-H2-2,,Dr. Rodelio Lim,gmclabcsfp@gmail.com,(045) 649 8702,,,,,,,,,,,,,,
Region 3,Pampanga,"2000 MacArthur Highway, San Fernando, Pampanga",Jose B. Lingad Memorial Hospital,DOH Retained,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,03-0243-21-H3-1,"January 26, 2021",Dr. Emil Bryan Garcia,jblmghmpl@gmail.com,(045) 961 2444,,,,,,,,,,,,,,
Region 3,Pampanga,"2000 MacArthur Highway, San Fernando, Pampanga",Jose B. Lingad Memorial Hospital,DOH Retained,Hospital Based,Cartridge-based PCR,GeneXpert,,5,NEW,03/19/21 - 12/31/21,03-0243-21-H3-1,,,,,,,,,,,,,,,,,,
Region 3,Pampanga,City of Pampanga,Our Lady of Mt. Carmel Medical Center Molecular Laboratory,PRIVATE,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,03-0260-21-H3-2,,Dr. Briones,,63920 970 7541,,,,,,,,,,,,,,
Region 3,Pampanga,Clark City,Philippine Red Cross Clark Molecular Laboratory,PRIVATE,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,03-0012-2021-CT-2,,,clark.mlab@redcross.org.ph,(045) 9614117,,,,,,,,,,,,,,
Region 3,Pampanga,"100 Gatwick Gateway Clark Global City, Clark Freeport, Mabalacat, 2023",The Medical City Clark Inc.,PRIVATE,Hospital Based,rRT PCR,,,5,NEW,03/25/21 - 12/31/21,13-0058-21-H3-2,,Ms. Cabrera,jlcabrera@themedicalcity.com,639177123895,"Mr. Olmedo, Ar. Leonado, Ms. Fermo, Ms. Padua, Ms. Foronda & Engr. Salanga",,,,,,,,,,,,,
Region 1,Pangasinan,"Mayombo District, Dagupan City2400, Dagupan, Pangasinan",Dagupan Doctors Villaflor Memorial Hospital,PRIVATE,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,01-0169-21-H2-2,,Dr. Sheldon StevenAquino,ddvmh_marketing@yahoo.com,(075) 523 2222,,,,,,,,,,,,,,
Region 1,Pangasinan,San Carlos City,Pangasinan Molecular Diagnostic Laboratory,LGU,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,01-0042-2021-CT-2,,Ms. Gatpo,pangasinanmoldxlab@gmail.com,63173144348,,,,,,,,,,,,,,
Region 1,Pangasinan,"Arellano Street, Dagupan, 2400 Pangasinan",Region 1 Medical Center,DOH Retained,Hospital Based,Cartridge-based PCR,GeneXpert,,5,RENEWED,01/01/21 - 12/31/21,01-0168-21-H3-1,,,region1mc@gmail.com,0915 906 3375," Mr. Malbacias, Ar. Leonado & Ms. Padua/ Dr. Hautea, Ar. Leonado, Ms. Bato, Ms. Casagan & Engr. Reyes",,,,,,,,,,,,,
Region 1,Pangasinan,Dagupan City,Region 1 Medical Center,DOH Retained,Hospital Based,rRT PCR,,,5,NEW,02/01/21 - 12/31/21,01-0168-21-H3-1,,Ms. Romero,region1mclab@gmail.com,639239636343,,,,,,,,,,,,,,
Region 1,Pangasinan,Mun. of Villasis,Metro Pangasinan Molecular Laboratory,PRIVATE,Non-Hospital Based,rRT PCR,,"April 8, 2021",3,FOR COMPLIANCE,,,,Dr. Sanchez,mpmlint21@gmail.com,63925 579 3043,"Dr. Hautea, Ms. Toledo, Ms. Bato & Engr. Reyes",,,,,,,,,,,,,
Region 4A,Quezon,Lucena City,Lucena United Doctors Hospital and Medical Center,PRIVATE,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,4A-0138-21-H2-2,,Dr. Celso Ramos,ludhmc@yahoo.com.ph,(042) 373 6161,,,,,,,,,,,,,,
Region 4A,Quezon,Gumaca,"Rakkk Prophet Medical Center, Inc.",PRIVATE,Hospital Based,Cartridge-based PCR,GeneXpert,,5,RENEWED,01/01/21 - 12/31/21,4A-0366-21-H2-2,,,rakkklaboratory@yahoo.com,(042) 317 7857,"Dr. Bonagua, Ms. Lentija, Mr. Dele Cruz, Ms. Bato, Ms. Casagan, Engr. Reyes & Mr. Tonolete",,,,,,,,,,,,,
Region 4A,Quezon,Mun. of Mauban,Mauban Municipal Health Office Molecular Laboratory,GOVERNMENT,Non-Hospital Based,rRT PCR,,"April 16, 2021",3,FOR COMPLIANCE,,,,Dr. Mararac,rhumauban.laboratory@gmail.com,63917 877 1967,"Dr. Bonagua, Engr. Lui, Ms. Lentija, Ms. Litiatco, Ms. Bato & Engr. Reyes",,,,,,,,,,,,,
Region 4A,Rizal,"23 Sumulong Hwy, Sta. Cruz, Antipolo, 1870 Rizal",Fatima University Medical Center Antipolo Corp.,PRIVATE,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,4A-0324-21-H2-2,,Dr. Herbert Pascual,mlorenza@fumc.fatima.edu.ph,639178720805,"Dr. Bonagua, Ms. Jessa Toledo, Ms. Bato, Ms. Casagan & Engr. Reyes",,,,,,,,,,,,,
Region 4A,Rizal,Antipolo City,Soriano-Leyble Medical and Maternity Hospital,PRIVATE,Hospital Based,rRT PCR,,,5,NEW,03/29/21 - 12/31/21,,,Dr. Young,slmmhlaboratorydept@gmail.com,639619119866,"Dr. Bonagua, Engr. Lui, Ms. Casagan, Ms. Bato & Engr. Reyes",,,,,,,,,,,,,
Region 4A,Rizal,Antipolo City,Antipolo City Molecular Laboratory,GOVERNMENT,Non-Hospital Based,rRT PCR,,"March 25, 2021",3,FOR COMPLIANCE,,,,Dr. Espiritu,antipolo_cho2015@yahoo.com,,"Ar. Leonado, Ms. Fermo, Mr. Olmedo, Ms. Padua, Ms. Foronda & Engr. Salanga",,,,,,,,,,,,,
Region 5,Sorsogon,Sorsogon City,Metro Health Specialist Hospital,PRIVATE,Hospital Based,rRT PCR,,,5,NEW,01/07/21 - 12/31/21,05-0100-21-H2-2,,Dr. Harold Ronan,metrohealthshi@yahoo.com,,,,,,,,,,,,,,,
Region 12,South Cotabato,"640 Osmena, Poblacion, Koronadal City, 9506 South Cotabato",Dr. Arturo Pingoy Medical Center,PRIVATE,Hospital Based,Cartridge-based PCR,GeneXpert,,5,RENEWED,01/01/21 - 12/31/21,12-0062-21-H2-2,,Dr. Edwin Alconcel,dchikoronadal@gmail.com,(083) 228 2202,,,,,,,,,,,,,,
Region 12,South Cotabato,"Emergency Rd, General Santos City, South Cotabato",Dr. Jorge P. Royeca Hospital,LGU,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,12-0025-2021-CT-1,,Dr. Edwin Alconcel,djprchlab@gmail.com,(083) 552 4808,"Dr. Bonagua, Mr. Dela CRuz, Ms. CAsagan, Ms. Bato, Engr. Archie",,,,,,,,,,,,,
Region 12,South Cotabato,General Santos City,St. Elizabeth Hospital,PRIVATE,Hospital Based,Cartridge-based PCR,GeneXpert,,5,RENEWED,01/01/21 - 12/31/21,12-0126-21-H3-2,,,contact@sehi.ph,63 (83) 552-3162,,,,,,,,,,,,,,
Region 12,Sultan Kudarat,Tacurong City,St. Louis Molecular Diagnostic Laboratory,PRIVATE,Non-Hospital Based,rRT PCR,,,5,NEW,03/15/21 - 12/31/21,12-0020-2021-CT-2,,Ms. Raras,stlouishospitaltacurong@gmail.com,639985669329,"Mr. Olmedo, Ar. Leonado, Ms. Fermo, Ms. Padua, Ms. Foronda & Engr. Salanga",,,,,,,,,,,,,
Region 12,Sultan Kudarat,Tacurong City,Tomboc-Salayog Hospital,PRIVATE,Hospital Based,rRT PCR,,"March 9, 2021",3,FOR COMPLIANCE,,,,Dr. Salayog,tombocsallab@gmail.com,639431365973,,,,,,,,,,,,,,
CARAGA,Surigao Del Norte,"Baan Rd, Butuan City, Agusan Del Norte",Butuan Medical Center,LGU,Hospital Based,Cartridge-based PCR,GeneXpert,,5,RENEWED,01/01/21 - 12/31/21,16-0240-21-H2-1,,Dr. Mary Ann Libre-Bernas,bmcmolecular@gmail.com,(085) 341 7490,,,,,,,,,,,,,,
CARAGA,Surigao Del Norte,"Baan Rd, Butuan City, Agusan Del Norte",Butuan Medical Center,LGU,Hospital Based,rRT pCR,,,5,RENEWED,01/01/21 - 12/31/21,16-0240-21-H2-1,,Dr. Mary Ann Libre-Bernas,bmcmolecular@gmail.com,(085) 341 7490,,,,,,,,,,,,,,
CARAGA,Surigao Del Norte,"Rizal Street, Brgy. Washington Roxas Street, Surigao City, Surigao del Norte",CARAGA Regional Hospital,DOH Retained,Hospital Based,Cartridge-based PCR,GeneXpert,,5,RENEWED,01/01/21 - 12/31/21,16-0223-21-H2-1,,Dr. Ponciano S. Limcangco,caragahospital@gmail.com / crh_laboratory@yahoo.com,639399072218,"Dr. Hautea, Engr. Lui, Ms. Fermo, Ms. Casagan, Ms. Bato, Engr. Reyes & Dr. Shin",,,,,,,,,,,,,
CARAGA,Surigao Del Norte,554 Brgy. Diego Silang Butuan City,Manuel J. Santos Hospital,PRIVATE,Hospital Based,Cartridge-based PCR,GeneXpert,,5,RENEWED,01/01/21 - 12/31/21,16-0134-21-H2-2,,Dr. Edgardo Abadiano,molecularlab@mjsantos.com.ph,(085) 341 2222,"Dr. Bonagua, Engr. Lui, Ms. Foronda & Engr. Tolentino",,,,,,,,,,,,,
CARAGA,Surigao Del Norte,Surigao City,Philippine Red Cross Molecular Laboratory,PRIVATE,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,16-0067-2021-CT-2,,Ms. Kabayao,surigao.norte@redcross.org.ph / janekabayao@yahoo.com,639213334012,"Dr. Aguilar, Mr. Malbacias, Ms. Foronda, Ms. Padua & Engr. Salanga",,,,,,,,,,,,,
CARAGA,Surigao Del Sur,"Capitol Hills, Telaje, Tandag, Surigao del Sur",Adela Serra TY Memorial Medical Center,DOH Retained,Hospital Based,rRT PCR,,,5,NEW,02/08/21 - 12/31/21,16-0181-21-H2-1,,Dr. Janelle D. Rendon,mblastmmc@gmail.com,,"Engr. Lui, Ms. Fermo, Ms. Foronda, Ms. Padua & Engr. Salanga",,,,,,,,,,,,,
Region 3,Tarlac,"Hospital Drive, San Vicente, Tarlac City",Central Luzon Doctor's Hospital,PRIVATE,Hospital Based,Cartridge-based PCR,GeneXpert,,5,RENEWED,01/01/21 - 12/31/21,03-0279-21-H3-2,,Dr. Maria Theresa T. Enrile,svduenas@cldh.com.ph / pjlsantos@cldh.com.ph,(045) 982 4430,,,,,,,,,,,,,,
Region 3,Tarlac,Tarlac City,Tarlac Provincial Hospital,LGU,Hospital Based,Cartridge-based PCR,GeneXpert,,5,NEW,01/04/21 - 12/31/21,03-0030-21-H3-1,,Dr. Miranda,,(045) 982 1306/ 491 8970 Loc 255,"Dr. Hautea, Engr. Lui, Ms. Fermo, Ms. Padua, Ms. Foronda",,,,,,,,,,,,,
Region 3,Tarlac,Tarlac City,Tarlac Provincial Hospital Molecular Laboratory,LGU,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,03-0030-21-H3-1,,,molecularlab.tph@gmail.com,0922-818-5223,"Ar. Leonado, Ms. Toledo, Mr. Tonolete, Ms. Casagan, Ms. Bato & Engr. Reyes",,,,,,,,,,,,,
Region 3,Zambales,Olongapo City,Philippine Red Cross - Logistics and Training Center,PRIVATE,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,03-0004-2021-CT-2,,,subicmolecularlab2020@gmail.com,(047) 222 2181,,,,,,,,,,,,,,
Region 3,Zambales,Iba,President Ramon Magsaysay Provincial Hospital,LGU,Hospital Based,Cartridge-based PCR,GeneXpert,,5,RENEWED,01/01/21 - 12/31/21,03-0463-21-H2-1,,Dr. Eclarin,pho.zambales@yahoo.com,639189047921,,,,,,,,,,,,,,
Region 9,Zamboanaga del Norte,Roxas,Zamboanga del Norte Medical Center,GOVERNMENT,Non-Hospital Based,rRT PCR,,,5,NEW,04/12/21 - 12/31/21,,,Ms. Recentes,biochem.znmc@gmail.com,,"Ms. Toledo, Ms. Foronda, Ms. Padua and Engr. Nolan",,,,,,,,,,,,,
Region 9,Zamboanga del Sur,"Mayor, Vitaliano Agan Ave, Zamboanga, 7000 Zamboanga del Sur",Ciudad Medical Zamboanga,PRIVATE,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,09-0253-21-H2-2,,Dr. Mary Torregosa,ciudadmedical_zam@yahoo.com,(062) 992 7330,,,,,,,,,,,,,,
Region 9,Zamboanga del Sur,Zamboanga City,Philippine Red Cross - Molecular Biology Laboratory,PRIVATE,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,09-0016-2021-CT-2,,,prczam.moleclab@gmail.com,(062) 200 3345,,,,,,,,,,,,,,
Region 9,Zamboanga del Sur,Zamboanga City,West Metro Medical Center,PRIVATE,Hospital Based,Cartridge-based PCR,GeneXpert,,5,RENEWED,01/01/21 - 12/31/21,09-0257-21-H2-2,,,mbdelgado@westmetro.com.ph,(062) 991 2506,"Dr. Bonagua, Ms. Toledo",,,,,,,,,,,,,
Region 9,Zamboanga del Sur,"Zamboanga del Sur PH Dr Evangelista Street, Sta. Catalina Rd, Zamboanga, 7000",ZAmboanga City Medical Center,DOH Retained,Hospital Based,Cartridge-based PCR,GeneXpert,,5,RENEWED,01/01/21 - 12/31/21,09-0273-21-H3-1,,,alzamzam_abubakar@yahoo.com,(062) 991 0573,"Dr. Bonagua, Mr. Favis, Ms. Sy",,,,,,,,,,,,,
Region 9,Zamboanga del Sur,Zamboanga City,Zamboanga City Medical Center-Department of Agriculture Satellite Laboratory for COVID-19 Testing,DOH Retained,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,09-0072-2021-CT-1,"December 28, 2020",,alzamzam_abubakar@yahoo.com,(062) 991 0573," Engr. Lui, Ms. Fermo, Ms. Padua, Ms. Foronda & Engr. Salanga",,,,,,,,,,,,,
Region 9,Zamboanga del Sur,Pagadian City,Zamboanga Del Sur Medical Center ,LGU,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,09-0254-21-H2-1,,,zdsmc@yahoo.com,(062) 214 4698,"Dr. Hautea, Engr. Lui, Ms. Fermo, Ms. Padua, Ms. Foronda & Engr. Salanga",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LEGENDS:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POP UP LABS./ CONTAINARIZED LABS./ MODULAR LABS.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CARTRIDGE-BASED RAPID PCR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NEWLY PROMOTED FACILITY OF THE DAY,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
