Timestamp,Email Address,Region,Province,City/ Municipality, Name of Laboratory,Type of Ownership,Type of Testing,Zoning Catchment Area (province/city/municipality) + total specimen per area per day (i.e. Rizal-50),Operating Hours per day,Operating Days,Declared turnaround time from specimen receipt to results release (in hours),Cut off time,"Actual Maximum Operational Capacity per day (# of samples than can be tested  per day-based on available machine, HR, operating hours, etc.  i.e. 1000)","Maximum number of samples that can be processed per day (based on available machine, HR, supplies, operating hours, etc. i.e. 1000)",Status of Laboratory Operational Capacity,Factors Affecting Current Operational Capacity,Number of Operational Extraction Machine ,Compatible Specimen Collection Kit to Extraction Machines,Number of Sansure SSR needed per day ,Number of VTM needed per day,Compatible DOH Procured Automated Extraction Kit to Extraction Machine,Number of Automated Extraction Kit needed per day,"Maximum Automated Extraction Output Per Day (maximum number of samples extracted per day based on available machine, HR, operating hours, etc.)","Current Automated Extraction Output per day (actual number of samples extracted per day based on available machine, HR, supplies, operating hours, etc.)",Number of Manual Extraction Kit needed per day,"Maximum Manual Extraction Output Per Day (maximum number of samples that can be extracted per day based on available machine, HR, operating hours, etc.)","Current Manual Extraction Output per day (current number of samples that can be extracted per day based on available machine, HR, supplies, operating hours, etc.)",Factors Affecting Extraction Output ,Operational PCR Machines,Number of PCR Kits needed per day,"Maximum PCR Output per day (maximum samples processed per day based on available machine, HR, operating hours, etc.)","Current PCR Output per day (current samples  processed per day based on available machine, HR, supplies, operating hours, etc.)",Type of Cartridge-based RT-PCR Machine,Type of Cartridged-based Modules,Total Operational Machine Modules (numeric value),Total number of Genexpert cartridges needed per day (numeric value),Total number of GeneXpert cartridges needed per month (numeric value),Other Requirements Prior to Acceptance of Samples,Other Laboratory Needs,Laboratory Contact Person,Contact Number (For DOH only),Specimens Collected,Preferred DOH Procured Manual Extraction Kit ,Brand of PCR Machines,Compatible DOH Procured PCR Kits to PCR Machines,Brand of RNA Extraction Machine,Testing output relative to capacity (number of samples tested/ declared maximum number of samples that can be processed) x 100 ,Positive Control Failure (No of runs in a day affected by a positive control failure),Internal Control Failure (No. of samples released with invalid result/ total number of samples tested for the day x 100),Negative Control Failure (No. of runs in a day affected by negative control failure),Declared turnaround time from specimen receipt to results release (in hours),Maximum Machine Operational Capacity [total samples per run x number of runs per day x total machines (separate RNA extraction from RT PCR machines i.e. 400; 500)],Total samples tested last week (from Mon to Sun),Total Cartridged-based samples tested per day
5/10/2021 7:41:30,jblmghmpl.covid19@gmail.com,III,Pampanga,San Fernando,Jose B.Lingad Memorial General Hospital,DOH Owned,RT-PCR and GeneXpert,1000,24 hours,7 days,48 hours,12 mn,,1000,Increase,BGI testing platform not operational due to lack of consumables,1,Sansure SSR,1200,0,"MGI Easy Magnetic Beads Virus DNA/RNA Extration Kit, Sansure Sample Released Reagent",25,1200,,0,0,,,2,50,1200,,Cepheid GeneXpert,Four placer,1,,120,,"consumables for BGI testing platform,calibration and preventive maintenance of our DOH donated Sansure MA6000 PCR machines","Andres T.Miranda,RMT",09064502963,NPS and OPS,Maccura,"Bioer LineGene 9600 series, Sansure MA 6000","BGI, Sansure","Auto-Pure32A (Allsheng), Sansure Natch CS, BGI(AMTK)",120,0,5.10%,0,48,1200,6330,1
5/10/2021 7:45:25,kairosmolecularlab@gmail.com,NCR,Metro Manila,Quezon City,Kairos Diagnostic Laboratory ,Private,RT-PCR,Quezon City-242,16 hours,7 days,"24 hours, 32 hours, 48 hours",6pm,,800,Average/Manageable,Limited man power,1,VTM and SSR,200,300,MGI Easy Magnetic Beads Virus DNA/RNA Extration Kit,100,100,,1,10,,,2,330,313,,,,,,,,Additional manpower ,Christine Joy Feliciano,09154223689,NPS and OPS,XABT Nucleic Extraction Kit,"Sansure MA 6000, Quantstudio 5 by thermofisher",Sansure,Genfine Automated Extractor ,46,0,3.25,0,24hrs-48hrs,368:736,1698,
5/10/2021 8:55:30,flordelizyao.sddiph@gmail.com,NCR,METRO MANILA,MANDALUYONG,SAFEGUARD DNA DIAGNOSTICS INC,Private,RT-PCR,Mandaluyong-900,24 hours,7 days with holidays,48 hours,48hrs and 24hrs Stat:   6:30am to 11:00pm  12-18 hrs STAT (Strictly for Medical Purpose Use only):  6:30am to 12:00noon and 4:00pm to 11:00pm,,1800 - 2000,Increase,MANPOWER,10,"VTM, VTM and SSR",NA,1800 - 2000,NA,3 BOXES (1 BOX/480TEST),1800,,NA,900-1200,,,4,10-14,900-1200,,,NA,NA,,NA,,"COMPLETE CIF version 8, ID OF PATIENT PRIOR APPOINTMENT",RUEL MANITO/ NIO ONG,09171402424,NPS and OPS,Not Applicable,BIORAD 384 PCR INSTRUMENT AND BIORAD 96 PCR INSTRUMENT,LOGIX SMART (COVID 19 KIT),"Lab Turbo, Lab Turbo 45, LabTurbo AIO",,0,0,0,24-48 HRS,1800;1800  ( 45X4X10 = 1800 ),"6,992",NA
5/10/2021 7:54:35,omphlabsarscov2@gmail.com,IV-B,Oriental Mindoro,Calapan City,Oriental Mindoro Provincial Hospital,LGU Owned,GeneXpert,Catchment area of the whole province,8 hours,6 days with holidays,24 hours,2:00pm,,176,Increase,"Time of Sample Submission, incompletely filled up CIF, CIF needed to be returned to PHO",No Extraction Machine,VTM,N/A,96,N/A,N/A,N/A,,N/A,N/A,,,,N/A,,,Cepheid GeneXpert,"Four placer, Sixteen placer",22,,2496,,"N95, GLOVES, HEAD COVER, FOOT COVER, DISPOSABLE ISOLATION GOWN",MARIA THERESA M. YACO,09278277902,"1 NPS only, 1 OPS only, NPS and OPS",Not Applicable,N/A,N/A,N/A,54%,N/A,N/A,N/A,10,176,532,96
5/10/2021 7:58:40,cduhcovidpcrlab@gmail.com,VII,Cebu,Cebu City,"Cebu Doctors’ University Hospital, Inc. ",Private,RT-PCR,Cebu- 350,12 hours,7 days with holidays,32 hours,1pm,,400,Average/Manageable,N/a,1,VTM,0,400,N/a,14,400,,0,50,,,1,8-10,400,,N/a,N/a,0,,0,,N/a,Marmi Sesaldo,09173222686,"1 NPS only, 1 OPS only, NPS and OPS",GenAmplify TM Viral RNA Purification Kit,Bio-Rad CFX96,BGI,Genolution Nextractor 48,87.5,N/a,2.8,0,36-42,400,"2,450",0
5/10/2021 7:59:45,zcmctblab@gmail.com,IX,Zamboanga del Sur,Zamboanga City,Zamboanga City Medical Center GeneXpert Laboratory,DOH Owned,GeneXpert,Zamboanga - 50,24 hours,7 days with holidays,2 hours,N/A,,N/A,Average/Manageable,N/A,,"VTM, Sansure SSR, VTM and SSR",N/A,N/A,,N/A,N/A,,N/A,N/A,,,,N/A,N/A,,Cepheid GeneXpert,"Four placer, Sixteen placer",24,,405,,PPE,Fatiha A. Alamuddin,N/A,"1 NPS only, NPS and OPS",,,,,N/A,N/A,N/A,N/A,2 hours,N/A,292,50
5/10/2021 8:03:28,rmc.covidlab@gmail.com,NCR,NATIONAL CAPITAL REGION,PASIG CITY,RIZAL MEDICAL CENTER - GENEXPERT LABORATORY,DOH Owned,GeneXpert,N/A,12 hours,7 days with holidays,2 hours,4:30PM,,128,Average/Manageable,"SUPPLY OF CARTRIDGES, TRANING FOR ADDITIONAL PERSONNEL
",No Extraction Machine,VTM,N/A,50,N/A,N/A,N/A,,N/A,N/A,,,,N/A,N/A,,Cepheid GeneXpert,Sixteen placer,16,,1100,,"SUPPLY OF VTM, OPS, NPS and CARTRIDGES
","JUSTINE LORENZ V. FALZADO, RMT",09164395801,NPS and OPS,N/A,N/A,N/A,N/A,31.25,N/A,N/A,N/A,2,128,262,35-40
5/10/2021 8:07:10,rpmcimoleclab20@gmail.com,IV-A,Quezon,Gumaca,"RAKKK Prophet Medical Center, Inc.",Private,GeneXpert,N/A,8 hours,6 days with holidays,24 hours,10 am,,64,Decrease,Low count of cartridge supply cause have to limit acceptance of samples that we are testing,,VTM,,,,,,,,,,,,,,,,,8,,200,,"Hazmat, Cartridges,VTM, NPS/OPS","Carmela Lacsina, Katrina Rose Aureada",09178324292/09953077249,"1 NPS only, 1 OPS only, NPS and OPS",,,,,20,N/A,N/A,N/A,within 24hrs,64,13,64
5/10/2021 8:14:12,oksicovid19lab@gmail.com,IV-B,Occidental Mindoro,Mamburao,Occidental Mindoro Provincial Hospital Genexpert Laboratory,LGU Owned,GeneXpert,Whole province of Occidental Mindoro-variable samples/area,8 hours,5 days with holidays,"24 hours, 48 hours",3:00pm,,24,Average/Manageable,sharing use of Gx with other programs,,n/a,,24,n/a,n/a,n/a,,n/a,n/a,,,,,,,Cepheid GeneXpert,Four placer,4,,480,,VTMs/swabbing kits,larry amita,0977810687,"1 NPS only, 1 OPS only, NPS and OPS",n/a,n/a,n/a,n/a,60%,n/a,n/a,n/a,24-48,,72,24 max
5/10/2021 8:18:42,mmhmolab@gmail.com,VI,Negros Occidental,Bacolod City,Corazon Locsin Montelibano Memorial Regional Hospital,DOH Owned,RT-PCR,Bacolod City 150,12 hours,7 days with holidays,72 hours,3PM,,250,Average/Manageable,None,2,"VTM, Sansure SSR, VTM and SSR",0,100,none,2,96,,4,192,,,3,6 boxes of 48's,250,,none,none,0,,0,,Biosafety Cabinet for Extraction,Alain C. Juayang,+639226942501,NPS and OPS,"XABT Nucleic Extraction Kit, Macherey Nagel Nucleospin DX Virus","ABI Quantstudio, Bio-Rad CFX96","BGI, Sansure, preferred BGI",Genolution Nextractor 48,115.2,Maximum of 1-2 ,less than 10,none,72,288,1342,0
5/10/2021 8:22:40,molecularlab@drmc.doh.gov.ph,XI,Davao del Norte,Tagum CIty,Davao Regional Medical Center - RT PCR Laboratory,DOH Owned,RT-PCR,Davao del Norte - 70; Davao Oriental - 40 ,12 hours,7 days with holidays,72 hours,2PM,,181,Increase,1 PCR machine is being used. The other PCR machine available needs a laptop for it to be use. ,2,VTM and SSR,N/A,150,Magabio DNA/RNA extraction kit,91,181,,50,50,,,2,100,91,,,,,,,,"PPE (sterile lab gown, gloves, N95 mask), 70% isopropyl alcohol",Aaron Nathaniel D. Lindo,09176303430,NPS and OPS,XABT Nucleic Extraction Kit,Bio-Rad CFX96,"BGI, A Star Fortitude Kit 2.0, Sansure",BIOER Magabio Virus DNA/RNA Extraction Kit,85.32%,0,2.78%,0,72,181,1081,
5/10/2021 8:32:22,culsanlab@gmail.com,IV-B,PALAWAN,CULION,CULION SANITARIUM AND GENERAL HOSPITAL,DOH Owned,GeneXpert,NORTHERN PALAWAN - 36,8 hours,7 days with holidays,48 hours,03:00 PM,,36,Increase,MANPOWER; SUPPLIES; MACHINE OUTPUT,No Extraction Machine,No extraction machine,0,36,NO EXTRACTION MACHINE,0,0,,0,0,,,,0,0,,Cepheid GeneXpert,"Four placer, 2 four placer GeneXpert Machines; 6 functional modules",6,,1080,,"MANPOWER, SUPPLIES","ALDRIN JASON N. TABLA, RMT",09669733178,NPS and OPS,NO EXTRACTION MACHINE,Cepheid GeneXpert,GeneXpert Machine,NO EXTRACTION MACHINE,30,0,N/A,N/A,48,36 (GeneXpert),76,36
5/10/2021 8:32:28,pathologymole.armmc@gmail.com,NCR,NCR,MARIKINA CITY,AMANG RODRIGUEZ MEMORIAL MEDICAL CENTER,DOH Owned,RT-PCR and GeneXpert,"NCR-50, RIZAL-30",8 hours,6 days,48 hours,1:00 PM,,80,Increase,"Lack of Manpower, Constraint on Schedule",1,VTM and SSR,30,70,N/A,2,80,,1,60,,,1,2,80,,Cepheid GeneXpert,"Four placer, Sixteen placer",20,,300,,"THERMAL CYCLER (BIORAD), PCR KIT, SSR, VTM, PCR CONSUMABLES",RACQUEL RHYS CASAOL VERZOSA,09154324900,NPS and OPS,GenAmplify TM Viral RNA Purification Kit,Bio-Rad CFX96,BGI,Genolution Nextractor 48,6000,0,0,0,48 HOURS,48; 60,378,20
5/10/2021 8:39:15,molecular_lab@chonghua.com.ph,VII,Cebu,Cebu City,Molecular Pathology Laboratory- Chong Hua Hospital Cebu City,Private,RT-PCR,Cebu City- 100,24 hours,7 days with holidays,24 hours,none,,135,Average/Manageable,none,No Extraction Machine,Sansure SSR,200,0,,6,135,,6,135,,,2,6,135,,Biofire,Eight placer,1,,0,,"Laboratory Request, CIF","Josephine Jasmin Ong, RMT",09177703492,"1 NPS only, 1 OPS only, NPS and OPS",,Sansure Slan48,Sansure,,450,none,none,none,24,135,945,10
5/10/2021 8:46:09,dmmcpcrlab2@gmail.com,IV-A,BATANGAS,TANAUAN CITY,DANIEL O. MERCADO MEDICAL CENTER,Private,RT-PCR,"BATANGAS-75, NCR-20, LAGUNA-5",16 hours,6 days with holidays,"24 hours, 48 hours",11AM & 5PM,,192,Average/Manageable,"SHIFTING SCHEDULE, MANPOWER, TESTING CENSUS",2,Sansure SSR,100,N/A,N/A,4,192,,N/A,N/A,,,2,4,192,,N/A,N/A,N/A,,N/A,,NONE AS OF THE MOMENT,OLIVER R. LUBIANO,043-4069884,NPS and OPS,Not Applicable,"Bio-Rad CFX96, Sansure MA 6000",Sansure,"Sansure Natch CS, Panagene Panamax 48",52%,0,0,0,24-48,192,695,N/A
5/10/2021 8:47:11,molecularlab@mjsantos.com.ph,CARAGA,Agusan Del Norte,Butuan City,Manuel J. Santos Hospital,Private,GeneXpert,BUTUAN-24,12 hours,7 days with holidays,24 hours,Morning:10am; afternoon: 2pm; on call shift: 9:30pm,,56,Average/Manageable,"incomplete infos of CIFs, LACK OF MANPOWER (3 analyst only), SCHEDULING",No Extraction Machine,VTM,0,40,N/A,0,0,,0,0,,,1,0,0,,Cepheid GeneXpert,Four placer,4,,750,,"newly trained medtech/analyst, scheduled competency training for GeneXpert","Ruth Grace B. Ranario, RMT",09985822747,1 NPS only,Not Applicable,N/A,N/A,N/A,42.8,0,37.5,0,WITHIN 24 HOURS,96,165,24
5/10/2021 8:50:18,jeanelyntaguinod@gmail.com,II,Cagayan,Tuguegarao City,CAGAYAN VALLEY CHD TB REFERENCE LABORATORY,DOH Owned,GeneXpert,different DRUS: 20-70,8 hours,7 days with holidays,24 hours,"Cut off for specinen receiving: 3pm on weekdays, 10am on weekends",,112,Average/Manageable,number of specimens received per day; number of functional modules,,VTM and SSR,112 assuming that there is no available vtm,112 assuming that there is no available ssr,,,,,,,,,,,,,Cepheid GeneXpert,"Four placer, Sixteen placer",14,,2190,,biohazard bags (no available supplier for local procurement),SHIRLYN A. PEREZ,09178721107,NPS and OPS,,,,,101/112*100=90,NA,NA,NA,24,112,352,it ranged from 21-101 this week (it varies daily)
5/10/2021 8:58:57,info@almolecular.com,NCR,"NCR, Fourth District (Not a Province)",City of Makati,AL Molecular Diagnostic Laboratory,Private,RT-PCR and Other Cartridge-based,10,12 hours,6 days with holidays,8 hours,6 pm,,16,Others,Marketing,2,VTM,0,500,magabio virus/DNA / RNA Extraction Kit,17,1000,,0,0,,,2,32,32,,Ustar,Two placer,2,,0,,None,Cecille Gertrude S. Guerrero,09177033016,NPS and OPS,Not Applicable,"Bioer LineGene 9600 series, abcyclerQ Real Time PCR",Ustar,Ustar,34.5,0,0,0,8 hrs,16,195,16
5/10/2021 9:07:13,davaooneworld@gmail.com,XI,DAVAO DEL SUR ,DAVAO CITY ,DAVAO ONE WORLD DIAGNOSTIC CENTER INC. ,Private,RT-PCR,DAVAO CITY-350 ,24 hours,7 days with holidays,24 hours,3AM,,650,Average/Manageable,NUMBER OF SAMPLE ,,VTM and SSR,,350,N/A,N/A,N/A,,5 BOXES ,600,,,3,10,5,,N/A,N/A,N/A,,N/A,,N/A,DOMINIQUE SARAGOZA ,09276020458,NPS and OPS,GenAmplify TM Viral RNA Purification Kit,"Bioer Quant Gene 9600, Sansure MA 6000, Sansure Slan48",BGI,,77,NONE,NONE,NONE ,24HRS ,94; 5; 3,3000,N/A
5/10/2021 9:55:01,bicolmedcovidlab@gmail.com,V,CAMARINES SUR,NAGA CITY,BICOL MEDICAL CENTER GENEXPERT LABORATORY,DOH Owned,GeneXpert,NAGA CITY-160,12 hours,7 days with holidays,24 hours,4:30PM,,160,Average/Manageable,NONE,No Extraction Machine,VTM,0,160,GENEXPERT,0,0,,0,0,,,3,160,160,,Cepheid GeneXpert,"Four placer, Sixteen placer",21,,4800,,NONE,MARY ELAINE TOLIDANES,09669450261,1 NPS only,Not Applicable,CEPHEID,XPERT XPRESS SARS-COV-2,N/A,15,0,0,0,24,160,124,160
5/10/2021 9:10:46,lagunamolecularlaboratory@gmail.com,IV-A,Laguna,San Pablo City,Laguna Provincial Hospital - San Pablo City District Hospital,LGU Owned,RT-PCR,"Laguna, Batangas, & Quezon - 270",12 hours,7 days with holidays,36,4:00PM,,270,Increase,Increased number of positive cases,No Extraction Machine,N/A,300,0,N/A,0,0,,6 packs x 48's,270,,,2,12 boxes x 24's,270,,N/A,N/A,0,,0,,Automated extraction machine,Maria Rhea C. Barrion,09516909328,NPS and OPS,Sansure Sample Releasing Reagent,"Bio-Rad CFX96, DLAB Accurate 96",Sansure,N/A,79.63,0,0,0,48,270,1503,N/A
5/10/2021 9:12:57,cmdlservices.uplb@up.edu.ph,IV-A,LAGUNA,LOS BANOS,UPLB COVID-19 MOLECULAR DIAGNOSTIC LABORATORY,Other Government Agency,RT-PCR,Laguna - 100 to 160,12 hours,5 days,48 hours,12:00 noon,,180,Average/Manageable,Number of incoming samples; internet services,No Extraction Machine,VTM,We don't use Sansure SSR,80 (Some RHUs do not request for replacement VTMs because they have their own supply),No extraction machine,NONE,N/A (no extraction machine),,100-160,180,,,3,180 reactions,240,,None,None,0,,0,,NONE,Maria Genaleen Q. Diaz,09176456265,NPS and OPS,"Invitrogen Purelink TM Viral RNA/ DNA Mini Kit, GenAmplify TM Viral RNA Purification Kit","Bio-Rad CFX96, Sansure MA 6000","BGI, A Star Fortitude Kit 2.0, Sansure",No extraction machine,500,0,0,0,48 hours,1502,1007,0
5/10/2021 9:18:00,dwh.virology@gmail.com,VIII,LEYTE,TACLOBAN,DIVINE WORD HOSPITAL,Private,RT-PCR,N/A,16 hours,7 days with holidays,48 hours,2 PM,,360,Average/Manageable,N/A,2,VTM,N/A,220,N/A,N/A,N/A`,,N/A,N/A,,,2,360 tests/ 4kits (96 tests/kit),720,,N/A,N/A,N/A,,N/A,,"Filtered tips 1000ul, 200 ul, 20 ul",RAZEL AIZA B. PEDROSA,0965552919/09976319545,NPS and OPS,N/A,"Bio-Rad CFX96, Bioer Quant Gene 9600",A Star Fortitude Kit 2.0,Auto-Pure32A (Allsheng),100,0,0,0,48,RNA EXTRACTION: 360/ PCR: 720,1500,N/A
5/10/2021 9:20:26,lcpgenexpertlab@gmail.com,NCR,Metro Manila,Quezon City,Lung Center of the Philippines GeneXpert Laboratory,GOCC,GeneXpert,"Quezon City, Rizal, Caloocan",8 hours,7 days,24 hours,10pm,,120,Increase,Increase in admissions.,No Extraction Machine,"VTM, Sansure SSR, VTM and SSR",20-30,20-30,N/A,N/A,N/A,,N/A,N/A,,,1,N/A,N/A,,Cepheid GeneXpert,"Four placer, Sixteen placer",23,,500,,"disinfectants, PPEs, paper towels, autoclave bags, yellow bags",Gerald Tejada MD,09171228808,1 NPS only,Not Applicable,N/A,N/A,N/A,80%,0,0,0,24,120,97,20
5/10/2021 9:22:12,pasigmolecularlab@gmail.com,NCR,Metro manila,Pasig,Pasig City Children's Hospital,LGU Owned,RT-PCR,Pasig- 500,12 hours,6 days with holidays,48 hours,7pm,,500,Average/Manageable,Decrease of sampls,3,VTM,0,200,Na,500,500,,0,0,,,2,20,500,,Na,Na,0,,Na,,Na,Mc Henry A. Vega,09156760496,NPS and OPS,Not Applicable,Bio-Rad CFX96,"BGI, Sansure","GeneFinder Ex-mate 32, Panagene Panamax 48",467,0,0,0,48,500;500,2333,Na
5/10/2021 9:28:45,ignacioirene29@gmail.com,NCR,Metro Manila,Taguig City,Taguig City Molecular Laboratory,LGU Owned,RT-PCR,N/a,8 hours,5 days,72 hours,N/a,,500,Increase,N/a,1,VTM and SSR,,,Kingfisher with consumables,,,,,,,,,,,,,,,,,,N/a,Irene Gamoyao,09499031482,NPS and OPS,,Bio-Rad CFX96,,Kingfisher,90,N/a,N/a,N/a,72,,694,
5/10/2021 9:31:06,parkwaybaguio@gmail.com,CAR,BENGUET,CITY OF BAGUIO,Parkway Medical and Diagnostic Center,Private,RT-PCR,"CAR - 300 , PANGASINAN-100, LA UNION-100",12 hours,7 days with holidays,24 hours,4PM,,500,Average/Manageable,None,2,VTM and SSR,500,500,NA,500,500,,100,100,,,2,500,500,,,NA,NA,,NA,,PPE,Dr. Dave L. Taclobao,09155933841,NPS and OPS,XABT Nucleic Extraction Kit,"QuantGene 9600, Sansure MA 6000",Sansure,"GenePure Pro, Sansure Natch CS",40,0,1,1,24 HOURS ,500,1338,NA
5/10/2021 9:31:40,cvmc.mollab0803@gmail.com,II,Cagayan,Tuguegarao City,Cagayan Valley Medical Center Molecular Laboratory,DOH Owned,RT-PCR,Cagayan province,12 hours,7 days with holidays,72 hours,4:00 pm,,1000,Increase,Increased community testing,2,"VTM, Sansure SSR, VTM and SSR",,,,,,,,,,,3,,,,,,,,,,None,Ruel Lamorena,302-000 local 200,NPS and OPS,"Invitrogen Purelink TM Viral RNA/ DNA Mini Kit, GenAmplify TM Viral RNA Purification Kit","Bio-Rad CFX96, Sansure MA 6000","BGI, A Star Fortitude Kit 2.0, Sansure","Abgenix Extraction System, Sansure Natch CS",Iguig,None,None,None,72,,5244,
5/10/2021 9:47:04,ctrlmolecular@gmail.com,VII,Cebu,Cebu City,Cebu TB Reference Laboratory-Molecular Facility for COVID-19 Testing,DOH Owned,RT-PCR,"Cebu Province, Negros Oriental, Bohol and Siquijor Provinces, Pagadian=1, 300/day",24 hours,7 days with holidays,48 hours,N/A,,1536 samples/day,Decrease,Machine breakdown,,VTM and SSR,32 packs,2000,N/A,NA,NA,,2 boxes,Reruns/Invalid samples only = 70/day,,,2,72 boxes/day,1536/day,,,,,,,,Additional Sansure PCR machine,"Prince Lee L. Balaba, RMT, MPH, DPA",0917 124 3650,NPS and OPS,"Thermofisher Genejet Viral DNA/RNA Purification Kit, Invitrogen Purelink TM Viral RNA/ DNA Mini Kit, Macherey Nagel Nucleospin DX Virus, GenAmplify TM Viral RNA Purification Kit",Sansure MA 6000,Sansure,"Bioneer 96, Sansure Natch CS, Both are not used. Sansure Natch CS is non-functional and Bioneer 96 is out of reagents",1536 samples/day,0,0,0,48-72 hours,96 samples x16 runs x 3 pcr machines,10544,
5/10/2021 9:47:44,sddi.ayesacataluna@gmail.com,VI,Negros Occidental,valladolid,Safeguard DNA Diagnostics Ic - Negros,Private,RT-PCR,Negros Occidental - 46,8 hours,6 days with holidays,48 hours,9AM-3PM,,372,Increase,newly operated,4,VTM and SSR,0,372,Fortitude ,2,372,,0,0,,,1,1,372,,,,,,,,None,Marielle Villanueva,09993406873,NPS and OPS,Not Applicable,Bio-Rad CFX96,A Star Fortitude Kit 2.0,Lab Turbo 45,12,none,0,0,48,372,46,
5/10/2021 9:50:58,sanmigueltestinglab@betterworld.ph,NCR,Metro Manila,Mandaluyong City,San Miguel Foundation Testing Laboratory,Private,RT-PCR,Mandaluyong,16 hours,6 days,48 hours,5pm,,1000,Average/Manageable,status of Natch machines,2,Sansure SSR,,,,,,,,,,,4,,,,,,,,,,n/a,Ivy Carol Lique,0286322100,NPS and OPS,,Sansure MA 6000,,Sansure Natch CS,,0,0,1,48 hours,,2247,
5/10/2021 9:59:09,josemarizoilo.deborja@qrdiagnostics.ph,NCR,Metro Manila,Las Piñas,QR Diagnostics inc.,Private,RT-PCR,82,8 hours,6 days,24 hours,2:00pm,,200,Decrease,Sample Load,1,VTM,N/A,100,abGenix AIT Biotech,1,60,,1,200,,,1,1,200,,N/A,N/A,1,,N/A,,Additional Staff,"Jose Mari Zoilo B. De Borja, RMT",09267075661,NPS and OPS,Biospin RNA Extraction Kit,Bio-Rad CFX96,FTD SARS CoV 2,Abgenix Extraction System,247,0,1,0,24 hours,264,494,N/A
5/10/2021 10:25:26,mlmanlapaz@healthfirst.com.ph,NCR,Metro Manila,Pasig City,Pasig City,Private,RT-PCR,Mandaluyong: 30-60;Muntinlupa: 10-20; Makati: 30-40 Quezon City: 20-40 Marikina: ~5-10 Pasig: ~5-10,8 hours,6 days,"8 hours, 24 hours",12nn,,100,Average/Manageable,surge,,no extraction machine,,,,,,,1,100,,,1,1,100,,,,,,,,none,Lindsay Fajardo,885-1000 Loc 6452,NPS and OPS,,Bio-Rad CFX96,,,76.80%,none,none,none,24 hrs,,328,
5/10/2021 10:36:04,djprchmolecularlab@gmail.com,XII,south cotabato,general santos city,Dr. Jorge P. Royeca Hospital,LGU Owned,RT-PCR,94,16 hours,7 days with holidays,24 hours,8am & 5 pm,,94,Increase,increased number of samples catered ,1,VTM,n/a,94,n/a,94,94,,94,as needed,,,2,96,94,,n/a,n/a,n/a,,n/a,,"sample freezer, pcr cabinet",Riza S. Berenio,09613278130,NPS and OPS,Not Applicable,"ABI 7500 Fast, Qiagen Rotogene Q",n/a,BIOER Magabio Virus DNA/RNA Extraction Kit,94,0,0.02,0,24,94,850,n/a
5/10/2021 10:45:01,lpghstc.molecular@gmail.com,NCR,metro manila,Las Piñas city,Las Piñas General Hospital,DOH Owned,RT-PCR and GeneXpert,Las Piñas - 391,12 hours,7 days with holidays,24 hours,3 pm,,130,Decrease,DN/A,1,Sansure SSR,130,0,Na,1,130,,0,0,,,2,6,130,,Cepheid GeneXpert,Four placer,4,,120,,1000 ul filtered tips,Cecil Alcazaren,09471962187,NPS and OPS,Na,"Sansure MA 6000, Sansure Slan96",Sansure,Genolution Nextractor 48,100,0,0,0,24,130,391,4
5/10/2021 10:47:46,crmccovidlab@gmail.com,XII,MAGUindanao,Cotabato City,Cotabato Regional and Medical Center,DOH Owned,RT-PCR and GeneXpert,Region 12 - 3480 and BARMM (Maguindanao) - 458,16 hours,7 days with holidays,48 hours,0,,888,Increase,increasing number of specimens submitted,3,VTM,0,600,"Thermo Scientific Magmax Extraction kit, Kingfisher with consumables",500,480,,0,0,,,3,550,512,,Cepheid GeneXpert,Four placer,8,,500,,consumables,Dr. Sherjan Kalim,09179713201,"1 NPS only, 1 OPS only, NPS and OPS",Not Applicable,Bio-Rad CFX96,"BGI, A Star Fortitude Kit 2.0","GenePure Pro, Kingfisher",64%,0,0,0,48,800; 800,3938,28
5/10/2021 10:50:07,pcrlabrecep@fedelmundo.com.ph,NCR,METRO MANILA,QUEZON CITY,Fe Del Mundo Medical Center Molecular Diagnostic Laboratory,Private,RT-PCR,QUEZON CITY-80 MANILA CITY-40 CALOOCAN CITY-20 MANDALUYONG CITY-10 RIZAL-10 BULACAN-20 CAVITE-80 LAGUNA-5 ,8 hours,5 days with holidays,48 hours,4PM,,600,Average/Manageable,NATURAL DISASTER,1,Sansure SSR,0,200,GENOLUTION,1,384,,50,10,,,1,300,384,,N/A,N/A,1,,0,,N/A,ERICKA MANANSALA,09162674963,NPS and OPS,QIAAMP,Bio-Rad CFX96,XABT AND GENEFINDER,Genolution Nextractor 96,100,0,0,0,48,600,1158,
5/10/2021 10:56:40,fad.result@gmail.com,NCR,METRO MANILA,"PORT AREA, MANILA",FIRSTAIDE DIAGNOSTICS,Private,RT-PCR,MANILA- 550,24 hours,7 days,24 hours,N/A,,1000,Average/Manageable,NA,3,VTM,NA,1000,,,480,,NA,NA,,,2,6,,,NA,NA,NA,,NA,,NA,LEONEDY M. MASANGCAY,09771277421,NPS and OPS,Not Applicable,AIT BIOTECH ABCyclerQ,,Abgenix Extraction System,388,NA,NA,NA,24 HOURS," 768; 1,288",2748,NA
